Grant,Organization Name,Focus Area,Amount,Date,,,,,,,,,,,,,,
Altruistic Technology Labs —  Work on Biological Risk Prevention,Altruistic Technology Labs,Biosecurity and Pandemic Preparedness,440525,5/1/2019,,,,,,,,,,,,,,
Open Phil AI Fellowship — 2019 Class,Open Phil AI Fellowship,Potential Risks from Advanced Artificial Intelligence,2325000,5/1/2019,,,,,,,,,,,,,,
Alliance for Safety and Justice — General Support (2019),Alliance for Safety and Justice,Criminal Justice Reform,15000,5/1/2019,,,,,,,,,,,,,,
The Greenfield Project — General Support (2019),The Greenfield Project,Farm Animal Welfare,250000,5/1/2019,,,,,,,,,,,,,,
International Refugee Assistance Project — Family Reunification,International Refugee Assistance Project ,Immigration Policy,75000,5/1/2019,,,,,,,,,,,,,,
Animal Kingdom Foundation — Corporate Campaigns (May 2019),Animal Kingdom Foundation,Farm Animal Welfare,17000,5/1/2019,,,,,,,,,,,,,,
Engineers Without Borders USA — Off-Grid Refrigeration Challenge ,Engineers Without Borders USA,Scientific Research,500000,5/1/2019,,,,,,,,,,,,,,
California YIMBY — General Support (2019),California YIMBY,Land Use Reform,2000000,4/1/2019,,,,,,,,,,,,,,
Anima — Movement Building,Anima,Farm Animal Welfare,367222,4/1/2019,,,,,,,,,,,,,,
"University of California, Los Angeles — Epigenetic Clock Research (Steve Horvath)","University of California, Los Angeles",Scientific Research,2368300,4/1/2019,,,,,,,,,,,,,,
Life Sciences Research Foundation — Young Investigators (2019),Life Sciences Research Foundation,Scientific Research,1170000,4/1/2019,,,,,,,,,,,,,,
Just Liberty— General Support (April 2019),Just Liberty,Criminal Justice Reform,100000,4/1/2019,,,,,,,,,,,,,,
FAI Farms — Tilapia Welfare,FAI Farms,Farm Animal Welfare,426000,4/1/2019,,,,,,,,,,,,,,
Working Families Party — Prosecutor Reforms in New York (2019),Working Families Party,Criminal Justice Reform,117300,4/1/2019,,,,,,,,,,,,,,
Real Justice PAC — Criminal Justice Reform (April 2019),Real Justice PAC,Criminal Justice Reform,50000,4/1/2019,,,,,,,,,,,,,,
World Animal Protection — Broiler Chicken Welfare (April 2019),World Animal Protection,Farm Animal Welfare,781498,4/1/2019,,,,,,,,,,,,,,
Rita Allen Foundation — Fellowship Support,Rita Allen Foundation,Scientific Research,495000,4/1/2019,,,,,,,,,,,,,,
Research Institute of Industrial Economics — Genomic Research Methods (2019),Research Institute of Industrial Economics,Scientific Research,1500000,4/1/2019,,,,,,,,,,,,,,
FAI Farms — Promoting Cage-Free Eggs in China,FAI Farms,Farm Animal Welfare,107200,4/1/2019,,,,,,,,,,,,,,
Photo Patch Foundation — General Support (2019),Photo Patch Foundation,Criminal Justice Reform,10000,4/1/2019,,,,,,,,,,,,,,
Kyoto University — Research on Reproductive Biology (Mitinori Saitou),Kyoto University,Scientific Research,4000000,4/1/2019,,,,,,,,,,,,,,
Employ America — General Support (April 2019),Employ America,Macroeconomic Stabilization Policy,300000,4/1/2019,,,,,,,,,,,,,,
Tampere University — Work on Global Catastrophic Risks,Tampere University,Global Catastrophic Risks,15000,4/1/2019,,,,,,,,,,,,,,
Compassion in World Farming — Farm Animal Welfare Advocacy in China (2019),Compassion in World Farming,Farm Animal Welfare,1891890,3/1/2019,,,,,,,,,,,,,,
Ayni Institute — Criminal Justice Reform Coaching,Ayni Institute,Criminal Justice Reform,264000,3/1/2019,,,,,,,,,,,,,,
VOCAL-NY Action Fund — Prosecutor Accountability,VOCAL-NY Action Fund,Criminal Justice Reform,155000,3/1/2019,,,,,,,,,,,,,,
Massachusetts Institute of Technology Media Lab — Kevin Esvelt's Research,Massachusetts Institute of Technology Media Lab,Global Catastrophic Risks,1000000,3/1/2019,,,,,,,,,,,,,,
Just Outcomes — Restorative Justice Convenings ,Just Outcomes,Criminal Justice Reform,30000,3/1/2019,,,,,,,,,,,,,,
Soko Tierschutz — Factory Farm Investigations,Soko Tierschutz,Farm Animal Welfare,100000,3/1/2019,,,,,,,,,,,,,,
Evidence Action — Strengthen Operations (2019),Evidence Action ,Global Health & Development,7751915,3/1/2019,,,,,,,,,,,,,,
"Evidence Action — Impact Evaluation of Iron and Folic Acid Supplementation (""Phase 2"")",Evidence Action,Global Health & Development,800000,3/1/2019,,,,,,,,,,,,,,
Center for Story-Based Strategy — General Support ,Center for Story-Based Strategy,Criminal Justice Reform,100000,3/1/2019,,,,,,,,,,,,,,
New York University — Work on Fish Welfare (2019),New York University,Farm Animal Welfare,125840,3/1/2019,,,,,,,,,,,,,,
University of Michigan — Research on Mammalian Gamete Development (Sue Hammoud),University of Michigan,Scientific Research,2500000,3/1/2019,,,,,,,,,,,,,,
Schistosomiasis Control Initiative — General Support (2019),Schistosomiasis Control Initiative,Global Health & Development,2500000,3/1/2019,,,,,,,,,,,,,,
Court Watch NOLA — Public Relations Support,Court Watch NOLA,Criminal Justice Reform,30000,3/1/2019,,,,,,,,,,,,,,
ReFrame — SPIN Academy,ReFrame,Criminal Justice Reform,45000,3/1/2019,,,,,,,,,,,,,,
IDinsight — New Incentives RCT,IDInsight,Global Health & Development,184324,3/1/2019,,,,,,,,,,,,,,
Claremont Graduate University — Leafleting Study,Claremont Graduate University,Farm Animal Welfare,57000,3/1/2019,,,,,,,,,,,,,,
IDinsight — Beneficiary Preferences Survey,IDinsight ,Global Health & Development,474374,3/1/2019,,,,,,,,,,,,,,
Humane Slaughter Association — Wild-Caught Fish Welfare ,Humane Slaughter Association,Farm Animal Welfare,570402,3/1/2019,,,,,,,,,,,,,,
Center for Global Development — Labor Mobility Partnerships,Center for Global Development,Immigration Policy,709888,3/1/2019,,,,,,,,,,,,,,
Yale University School of Medicine — Vascular Therapy Research,Yale University School of Medicine,Scientific Research,180000,3/1/2019,,,,,,,,,,,,,,
Sinergia Animal — General Support (2019),Sinergia Animal,Farm Animal Welfare,245000,3/1/2019,,,,,,,,,,,,,,
Columbia University — Beyond the Bars Conference 2019,Center for Justice at Columbia University,Criminal Justice Reform,20000,3/1/2019,,,,,,,,,,,,,,
The Humane League — Open Wing Alliance (2019),The Humane League,Farm Animal Welfare,1565000,3/1/2019,,,,,,,,,,,,,,
Rethink Priorities — Farm Animal Welfare Research,Rethink Priorities,Farm Animal Welfare,200000,3/1/2019,,,,,,,,,,,,,,
Jeanne Marchig Centre — Farm Animal Welfare Advocacy in China (2019),Jeanne Marchig International Centre for Animal Welfare Education,Farm Animal Welfare,368188,2/1/2019,,,,,,,,,,,,,,
Fair and Just Prosecution — General Support (2019),Fair and Just Prosecution,Criminal Justice Reform,1500000,2/1/2019,,,,,,,,,,,,,,
Amistad Law Project — General Support (2019),Amistad Law Project,Criminal Justice Reform,25000,2/1/2019,,,,,,,,,,,,,,
California Renters Legal Advocacy and Education Fund — General Support (2019),California Renters Legal Advocacy and Education Fund,Land Use Reform,340000,2/1/2019,,,,,,,,,,,,,,
Machine Intelligence Research Institute — General Support (2019),Machine Intelligence Research Institute,Potential Risks from Advanced Artificial Intelligence,2652500,2/1/2019,,,,,,,,,,,,,,
"80,000 Hours — General Support (2019)","80,000 Hours",Other areas,4795803,2/1/2019,,,,,,,,,,,,,,
Centre for Effective Altruism — General Support (2019),Centre for Effective Altruism,Other areas,2756250,2/1/2019,,,,,,,,,,,,,,
Legal Services for Prisoners with Children — CJR Events Support ,Legal Services for Prisoners with Children,Criminal Justice Reform,10000,2/1/2019,,,,,,,,,,,,,,
Justice Solutions — Anne Seymour’s Crime Victims and Survivors Work (2019),Justice Solutions,Criminal Justice Reform,115000,2/1/2019,,,,,,,,,,,,,,
UC Berkeley — Deworming and Cash Transfers (2019),UC Berkeley,Global Health & Development,170000,2/1/2019,,,,,,,,,,,,,,
Sightline Institute - Housing and Urban Development (February 2019),Sightline Institute,Land Use Reform,150000,2/1/2019,,,,,,,,,,,,,,
Essere Animali — Farm Animal Welfare Work in Italy ,Essere Animali,Farm Animal Welfare,150000,2/1/2019,,,,,,,,,,,,,,
World Animal Protection — Farm Animal Welfare Advocacy in China (2019),World Animal Protection,Farm Animal Welfare,1200000,2/1/2019,,,,,,,,,,,,,,
WildAid — Reducing Meat Consumption in Asia (2019),WildAid,Farm Animal Welfare,500000,2/1/2019,,,,,,,,,,,,,,
University of Pennsylvania — Research on Mammalian Reproduction (Kotaro Sasaki),University of Pennsylvania,Scientific Research,660000,2/1/2019,,,,,,,,,,,,,,
We Animals — Content for Farm Animal Welfare Advocacy (2019),We Animals,Farm Animal Welfare,240000,2/1/2019,,,,,,,,,,,,,,
The Center for Election Science — General Support (2019) ,The Center for Election Science,Other areas,1800000,2/1/2019,,,,,,,,,,,,,,
University Health Network — Preterm Birth Research (2019),University Health Network,Scientific Research,1134975,2/1/2019,,,,,,,,,,,,,,
Princeton University — Animal Liberation,Princeton University,Farm Animal Welfare,100000,2/1/2019,,,,,,,,,,,,,,
Georgetown University — Center for Security and Emerging Technology,Georgetown University,Potential Risks from Advanced Artificial Intelligence,55000000,1/1/2019,,,,,,,,,,,,,,
Peterson Institute for International Economics — Macroeconomic Research Projects,Peterson Institute for International Economics,Macroeconomic Stabilization Policy,400000,1/1/2019,,,,,,,,,,,,,,
Results for Development — Childhood Pneumonia Treatment Program (2019),Results for Development,Global Health & Development,5605398,1/1/2019,,,,,,,,,,,,,,
International Refugee Assistance Project — General Support (2019),International Refugee Assistance Project ,Immigration Policy,1000000,1/1/2019,,,,,,,,,,,,,,
Animal Equality — Broiler Welfare Campaigns ,Animal Equality,Farm Animal Welfare,215000,1/1/2019,,,,,,,,,,,,,,
Royal Veterinary College — Halal Poultry Slaughter Research ,Royal Veterinary College,Farm Animal Welfare,130850,1/1/2019,,,,,,,,,,,,,,
Reform Jails and Community Reinvestment Initiative — Reform L.A. Jails Ballot Measure (January 2019),Reform Jails and Community Reinvestment Initiative,Criminal Justice Reform,491000,1/1/2019,,,,,,,,,,,,,,
The Humane League — Broiler Welfare Campaigns,The Humane League,Farm Animal Welfare,750000,1/1/2019,,,,,,,,,,,,,,
Mercy for Animals — Broiler Welfare Campaigns,Mercy for Animals,Farm Animal Welfare,261000,1/1/2019,,,,,,,,,,,,,,
Princeton University — Translation of Books on Animal Ethics ,Princeton University,Farm Animal Welfare,170000,1/1/2019,,,,,,,,,,,,,,
UC Berkeley — Alternative Meats Lab (January 2019),UC Berkeley,Farm Animal Welfare,131579,1/1/2019,,,,,,,,,,,,,,
Cynthia Schuck & Wladimir Alonso — DALY Project (2019),Cynthia Schuck & Wladimir Alonso,Farm Animal Welfare,100000,1/1/2019,,,,,,,,,,,,,,
Center for Global Development — Gene Drive Research ,Center for Global Development,Scientific Research,348550,1/1/2019,,,,,,,,,,,,,,
Farm Forward — Exit Grant,"Farm Forward, Inc",Farm Animal Welfare,166000,1/1/2019,,,,,,,,,,,,,,
University of Southern California — Social Science Genetic Association Consortium (January 2019),University of Southern California,Scientific Research,2250000,1/1/2019,,,,,,,,,,,,,,
Sightsavers — Deworming Programs (January 2019),Sightsavers,Global Health & Development,9700000,1/1/2019,,,,,,,,,,,,,,
Berkeley Existential Risk Initiative — CHAI ML Engineers,Berkeley Existential Risk Initiative,Potential Risks from Advanced Artificial Intelligence,250000,1/1/2019,,,,,,,,,,,,,,
Compassion Over Killing — Exit Grant,Compassion Over Killing,Farm Animal Welfare,250000,1/1/2019,,,,,,,,,,,,,,
Iodine Global Network — General Support (January 2019),Iodine Global Network,Global Health & Development,100000,1/1/2019,,,,,,,,,,,,,,
Living Goods — General Support (January 2019),Living Goods,Global Health & Development,100000,1/1/2019,,,,,,,,,,,,,,
Sherlock Biosciences — Research on Viral Diagnostics,Sherlock Biosciences,Scientific Research,17500000,1/1/2019,,,,,,,,,,,,,,
Center for International Security and Cooperation — Megan Palmer’s Biosecurity Research (2019),Center for International Security and Cooperation,Biosecurity and Pandemic Preparedness,1625000,1/1/2019,,,,,,,,,,,,,,
Promise of Justice Initiative — East Baton Rouge Parish Prison Reform Coalition (2018),Promise of Justice Initiative ,Criminal Justice Reform,75000,12/1/2018,,,,,,,,,,,,,,
Evidence Action — Dispensers for Safe Water Program (2018),Evidence Action,Global Health & Development,100000,12/1/2018,,,,,,,,,,,,,,
Color Of Change — Criminal Justice Reform (2018),Color Of Change,Criminal Justice Reform,1000000,12/1/2018,,,,,,,,,,,,,,
Helen Keller International  — Vitamin A Supplementation (December 2018),Helen Keller International,Global Health & Development,6500000,12/1/2018,,,,,,,,,,,,,,
The Leadership Conference on Civil and Human Rights — Federal Criminal Justice Reform Advocacy,The Leadership Conference on Civil and Human Rights ,Criminal Justice Reform,200000,12/1/2018,,,,,,,,,,,,,,
GiveDirectly — General Support (December 2018),GiveDirectly,Global Health & Development,2500000,12/1/2018,,,,,,,,,,,,,,
Working Families Party — Prosecutor Reforms in New York (2018),"Working Families Party, Inc.",Criminal Justice Reform,109600,12/1/2018,,,,,,,,,,,,,,
Global Alliance for Improved Nutrition — Universal Salt Iodization (December 2018),Global Alliance for Improved Nutrition,Global Health & Development,100000,12/1/2018,,,,,,,,,,,,,,
Biosecure Ltd — Campaign Against Bioweapons Research,Biosecure Ltd,Biosecurity and Pandemic Preparedness,25000,12/1/2018,,,,,,,,,,,,,,
Malaria Consortium — Seasonal Malaria Chemoprevention Programs (December 2018),Malaria Consortium ,Global Health & Development,26600000,12/1/2018,,,,,,,,,,,,,,
Citizens for Juvenile Justice — General Support (2018),Citizens for Juvenile Justice,Criminal Justice Reform,75000,12/1/2018,,,,,,,,,,,,,,
Foundation for Food and Agriculture Research — Egg Tech Challenge,Foundation for Food and Agriculture Research,Farm Animal Welfare,3000000,12/1/2018,,,,,,,,,,,,,,
Georgia Institute of Technology — Biology Research (Saad Bhamla),Georgia Institute of Technology,Scientific Research,50000,12/1/2018,,,,,,,,,,,,,,
Against Malaria Foundation — General Support (December 2018),Against Malaria Foundation,Global Health & Development,2500000,12/1/2018,,,,,,,,,,,,,,
The University of Sydney — 2019 Global Health Security Conference,University of Sydney,Biosecurity and Pandemic Preparedness,32621,12/1/2018,,,,,,,,,,,,,,
gui2de — Zusha! Road Safety Campaign (December 2018),"Georgetown University Initiative on Innovation, Development, and Evaluation",Global Health & Development,100000,12/1/2018,,,,,,,,,,,,,,
Smart Justice CA — California Criminal Justice Reform Lobbying (2018),Smart Justice CA,Criminal Justice Reform,25000,12/1/2018,,,,,,,,,,,,,,
National Council for Incarcerated and Formerly Incarcerated Women and Girls — General Support (December 2018),National Council for Incarcerated and Formerly Incarcerated Women and Girls,Criminal Justice Reform,350000,12/1/2018,,,,,,,,,,,,,,
The END Fund — Deworming Programs (December 2018),The END Fund,Global Health & Development,2500000,12/1/2018,,,,,,,,,,,,,,
Development Media International — General Support (December 2018),Development Media International,Global Health & Development,100000,12/1/2018,,,,,,,,,,,,,,
The Humane League — Latin America Regional Summit,The Humane League,Farm Animal Welfare,22000,12/1/2018,,,,,,,,,,,,,,
Food Fortification Initiative — General Support (December 2018),Food Fortification Initiative,Global Health & Development,100000,12/1/2018,,,,,,,,,,,,,,
Deworm the World Initiative — General Support (December 2018),Evidence Action,Global Health & Development,10400000,12/1/2018,,,,,,,,,,,,,,
Project Healthy Children — General Support (December 2018),Project Healthy Children,Global Health & Development,100000,12/1/2018,,,,,,,,,,,,,,
"University of Minnesota, Twin Cities — Nanomaterials Research (Claudia Schmidt-Dannert)","University of Minnesota, Twin Cities",Scientific Research,150000,12/1/2018,,,,,,,,,,,,,,
Court Watch NOLA — General Support (November 2018),Court Watch NOLA,Criminal Justice Reform,200000,11/1/2018,,,,,,,,,,,,,,
"Evidence Action Beta —  Iron and Folic Acid Supplementation (""Phase 2"")",Evidence Action Beta,Global Health & Development,3408259,11/1/2018,,,,,,,,,,,,,,
Alliance for Safety and Justice Action Fund — General Support (2018),Alliance for Safety and Justice Action Fund,Criminal Justice Reform,2000000,11/1/2018,,,,,,,,,,,,,,
iGEM — Synthetic Biology Safety and Security (2018),International Genetically Engineered Machine Foundation ,Biosecurity and Pandemic Preparedness,420000,11/1/2018,,,,,,,,,,,,,,
"Daniel Kang, Jacob Steinhardt, Yi Sun, and Alex Zhai — Study of the Robustness of Machine Learning Models",,Potential Risks from Advanced Artificial Intelligence,2351,11/1/2018,,,,,,,,,,,,,,
Nuclear Threat Initiative — Projects to Reduce Global Catastrophic Biological Risks,Nuclear Threat Initiative,Biosecurity and Pandemic Preparedness,1904942,11/1/2018,,,,,,,,,,,,,,
Animal Welfare Standards Project — Chinese Animal Welfare Institute,Animal Welfare Standards Project,Farm Animal Welfare,1489201,11/1/2018,,,,,,,,,,,,,,
University of Bern — Higher Welfare Cage-Free Systems,University of Bern,Farm Animal Welfare,150000,11/1/2018,,,,,,,,,,,,,,
Alliance for Safety and Justice — General Support (2018),Alliance for Safety and Justice,Criminal Justice Reform,3000000,11/1/2018,,,,,,,,,,,,,,
"EicOsis Human Health, Inc. — Pain Research ","EicOsis Human Health, Inc.",Scientific Research,5000000,11/1/2018,,,,,,,,,,,,,,
University of British Columbia — Research on Pig Welfare in China ,University of British Columbia,Farm Animal Welfare,50186,11/1/2018,,,,,,,,,,,,,,
Global Animal Partnership — Farm Animal Welfare Activities (2018),Global Animal Partnership,Farm Animal Welfare,500000,11/1/2018,,,,,,,,,,,,,,
UC Berkeley — AI safety research (2018),UC Berkeley,Potential Risks from Advanced Artificial Intelligence,1145000,11/1/2018,,,,,,,,,,,,,,
"The Ahimsa Collective — ""Life Comes From It"" Fund Administration",The Ahimsa Collective,Criminal Justice Reform,150000,11/1/2018,,,,,,,,,,,,,,
Corrections Accountability Project — General Support (2018),Corrections Accountability Project,Criminal Justice Reform,150000,11/1/2018,,,,,,,,,,,,,,
Forward Justice — Criminal Justice Reform Advocacy and Organizing (2018)  ,Forward Justice,Criminal Justice Reform,150000,11/1/2018,,,,,,,,,,,,,,
Boston Children's Hospital — Chronic Pain Research (Yi Zhang),Boston Children's Hospital ,Scientific Research,1695376,10/1/2018,,,,,,,,,,,,,,
Photo Patch Foundation  — General Support,Photo Patch Foundation,Criminal Justice Reform,10000,10/1/2018,,,,,,,,,,,,,,
Momentum — Criminal Justice Reform Trainings ,Momentum,Criminal Justice Reform,15000,10/1/2018,,,,,,,,,,,,,,
Washington Center for Equitable Growth — Automatic Stabilizers Conference ,Washington Center for Equitable Growth ,Macroeconomic Stabilization Policy,100000,10/1/2018,,,,,,,,,,,,,,
Citizen Action of New York — Criminal Justice Reform Advocacy in New York State,Citizen Action of New York,Criminal Justice Reform,266000,10/1/2018,,,,,,,,,,,,,,
Chicago Community Bond Fund — Coordinator for Criminal Justice Reform Coalition,Chicago Community Bond Fund ,Criminal Justice Reform,80000,10/1/2018,,,,,,,,,,,,,,
University of Edinburgh — Scholarship Program in Applied Animal Behavior and Animal Welfare,University of Edinburgh  ,Farm Animal Welfare,102041,10/1/2018,,,,,,,,,,,,,,
Food Frontier — General Support,Food Frontier,Farm Animal Welfare,100000,10/1/2018,,,,,,,,,,,,,,
Oxford University — D.Phil Support for Andrew Snyder-Beattie,Oxford University ,Biosecurity and Pandemic Preparedness,26086,10/1/2018,,,,,,,,,,,,,,
Duke University — CRISPR-Based Epigenome Editing Tools (Charles Gersbach),Duke University ,Scientific Research,2550171,10/1/2018,,,,,,,,,,,,,,
University of Michigan — Support for David Manley ,University of Michigan ,Other areas,46696,10/1/2018,,,,,,,,,,,,,,
Otwarte Klatki — CARE Conference Travel Grants,Otwarte Klatki ,Farm Animal Welfare,10350,10/1/2018,,,,,,,,,,,,,,
CDC Foundation — Malaria Control Research Project (2018),CDC Foundation,Scientific Research,1044501,10/1/2018,,,,,,,,,,,,,,
New Virginia Majority Education Fund — Criminal Justice Reform (2018),New Virginia Majority Education Fund,Criminal Justice Reform,220000,10/1/2018,,,,,,,,,,,,,,
UC Berkeley — Research on Drought-Tolerant Rice (Brian Staskawicz),UC Berkeley ,Scientific Research,200000,10/1/2018,,,,,,,,,,,,,,
"Prevent Cruelty California — ""Yes on Prop 12"" Campaign",Prevent Cruelty California,Farm Animal Welfare,4000000,10/1/2018,,,,,,,,,,,,,,
Oxford Uehiro Centre for Practical Ethics — Animal Sentience Workshop ,Oxford Uehiro Centre for Practical Ethics ,Farm Animal Welfare,6683,10/1/2018,,,,,,,,,,,,,,
Better Eating International — Organizational Development ,Better Eating International,Farm Animal Welfare,12690,9/1/2018,,,,,,,,,,,,,,
Community Justice Exchange — General Support ,Community Justice Exchange,Criminal Justice Reform,250000,9/1/2018,,,,,,,,,,,,,,
Center for a New American Security — Outreach on Technological Risk Led by Richard Danzig ,Center for a New American Security,Global Catastrophic Risks,400352,9/1/2018,,,,,,,,,,,,,,
Eurogroup for Animals — Fish Welfare (2018),Eurogroup For Animals,Farm Animal Welfare,990000,9/1/2018,,,,,,,,,,,,,,
California YIMBY — General Support (August 2018),California YIMBY,Land Use Reform,350000,8/1/2018,,,,,,,,,,,,,,
The Humane League — General Support (2018),The Humane League,Farm Animal Welfare,10000000,8/1/2018,,,,,,,,,,,,,,
Real Justice PAC — Criminal Justice Reform (August 2018),Real Justice PAC,Criminal Justice Reform,850000,8/1/2018,,,,,,,,,,,,,,
Fórum Nacional de Proteção e Defesa Animal — Crate- and Cage-Free Campaigning in Brazil,Fórum Nacional de Proteção e Defesa Animal,Farm Animal Welfare,200000,8/1/2018,,,,,,,,,,,,,,
Plant Based Foods Association — State-Level Policy (2018),Plant Based Foods Association,Farm Animal Welfare,250000,8/1/2018,,,,,,,,,,,,,,
Texas Organizing Project Education Fund — Working With MOVE San Antonio Foundation,Texas Organizing Project Education Fund,Criminal Justice Reform,56000,8/1/2018,,,,,,,,,,,,,,
Griffith University — Farm Animal Welfare Advocacy in China (2018),Griffith University ,Farm Animal Welfare,100000,8/1/2018,,,,,,,,,,,,,,
GoalsRL — Workshop on Goal Specifications for Reinforcement Learning ,GoalsRL,Potential Risks from Advanced Artificial Intelligence,7500,8/1/2018,,,,,,,,,,,,,,
UCSF — Chronic Pain Research (Allan Basbaum),"University of California, San Francisco ",Scientific Research,1021318,8/1/2018,,,,,,,,,,,,,,
Floridians for a Fair Democracy — Ballot Committee Contribution,Floridians for a Fair Democracy,Criminal Justice Reform,750000,8/1/2018,,,,,,,,,,,,,,
Civil Rights Corps — General Support (2018) ,Civil Rights Corps,Criminal Justice Reform,25000,8/1/2018,,,,,,,,,,,,,,
Faith in Texas — Criminal Justice Reform Work,Faith in Texas,Criminal Justice Reform,250000,8/1/2018,,,,,,,,,,,,,,
Players Coalition Charitable Foundation — Criminal Justice Reform ,Players Coalition Charitable Foundation,Criminal Justice Reform,50000,8/1/2018,,,,,,,,,,,,,,
The Soze Agency — Right of Return Fellowship ,The Soze Agency ,Criminal Justice Reform,300000,8/1/2018,,,,,,,,,,,,,,
American Conservative Union Foundation — Criminal Justice Reform (2018) ,American Conservative Union Foundation,Criminal Justice Reform,212000,8/1/2018,,,,,,,,,,,,,,
The Ladies of Hope Ministries — Hope House Project,The Ladies of Hope Ministries ,Criminal Justice Reform,155000,8/1/2018,,,,,,,,,,,,,,
Aubin Pictures — Criminal Justice Media Archive ,Aubin Pictures,Criminal Justice Reform,60000,7/1/2018,,,,,,,,,,,,,,
Future of Humanity Institute — Work on Global Catastrophic Risks ,Future of Humanity Institute ,Global Catastrophic Risks,12250810,7/1/2018,,,,,,,,,,,,,,
Economic Policy Institute — Macroeconomic Policy Research (2018),Economic Policy Institute ,Macroeconomic Stabilization Policy,700000,7/1/2018,,,,,,,,,,,,,,
Evidence Action Beta — Incubator Program,Evidence Action Beta,Global Health & Development,5069866,7/1/2018,,,,,,,,,,,,,,
Charity Science — Development of New Animal Welfare Charities ,Charity Science ,Farm Animal Welfare,265000,7/1/2018,,,,,,,,,,,,,,
National Family Defense Project — General Support,National Family Defense Project ,Criminal Justice Reform,120000,7/1/2018,,,,,,,,,,,,,,
Prosecutor Impact — Prosecutor Training Pilot,Prosecutor Impact ,Criminal Justice Reform,50000,7/1/2018,,,,,,,,,,,,,,
Stanford University — Machine Learning Security Research Led by Dan Boneh and Florian Tramer,Stanford University,Potential Risks from Advanced Artificial Intelligence,100000,7/1/2018,,,,,,,,,,,,,,
Center on Budget and Policy Priorities — Full Employment Project (2018),Center on Budget and Policy Priorities,Macroeconomic Stabilization Policy,250000,7/1/2018,,,,,,,,,,,,,,
Wilson Center — AI Policy Seminar Series ,The Wilson Center ,Potential Risks from Advanced Artificial Intelligence,400000,7/1/2018,,,,,,,,,,,,,,
One for the World — General Support,One for the World ,Global Health & Development,153750,7/1/2018,,,,,,,,,,,,,,
New Economy Organisers Network — KIN Convenings,New Economy Organisers Network,Criminal Justice Reform,42285,7/1/2018,,,,,,,,,,,,,,
Nuclear Threat Initiative — Global Health Security Index ,Nuclear Threat Initiative,Biosecurity and Pandemic Preparedness,3556773,7/1/2018,,,,,,,,,,,,,,
Oxford University — Research on the Global Politics of AI,Oxford University ,Potential Risks from Advanced Artificial Intelligence,429770,7/1/2018,,,,,,,,,,,,,,
Johns Hopkins Center for Health Security  — SynBioBeta 2018 Meeting ,Johns Hopkins Center for Health Security,Biosecurity and Pandemic Preparedness,169600,6/1/2018,,,,,,,,,,,,,,
GiveWell — General Support (2018),GiveWell,Global Health & Development,751179,6/1/2018,,,,,,,,,,,,,,
Commonwealth Veterinary Association — Animal Welfare Workshop,Commonwealth Veterinary Association ,Farm Animal Welfare,31355,6/1/2018,,,,,,,,,,,,,,
Animal Equality — Corporate Animal Welfare Campaigns ,Animal Equality ,Farm Animal Welfare,2772430,6/1/2018,,,,,,,,,,,,,,
Evidence Action Beta — Iron and Folic Acid Supplementation,Evidence Action ,Global Health & Development,320000,6/1/2018,,,,,,,,,,,,,,
Workers Center for Racial Justice — Prosecutorial Accountability in Chicago (2018),Workers Center for Racial Justice,Criminal Justice Reform,125000,6/1/2018,,,,,,,,,,,,,,
Future of Life Institute — General Support (2018) ,Future of Life Institute ,Global Catastrophic Risks,250000,6/1/2018,,,,,,,,,,,,,,
The People’s Lobby Education Institute — Work on Prosecutorial Accountability in Chicago (2018),The People's Lobby Education Institute ,Criminal Justice Reform,125000,6/1/2018,,,,,,,,,,,,,,
Compassion in World Farming — Organizational Development,Compassion in World Farming,Farm Animal Welfare,10720,6/1/2018,,,,,,,,,,,,,,
Machine Intelligence Research Institute — AI Safety Retraining Program,Machine Intelligence Research Institute,Potential Risks from Advanced Artificial Intelligence,150000,6/1/2018,,,,,,,,,,,,,,
Centre for Effective Altruism — General Support (2018),Centre for Effective Altruism,Other areas,2688000,6/1/2018,,,,,,,,,,,,,,
AI Impacts — General Support (2018),AI Impacts,Potential Risks from Advanced Artificial Intelligence,100000,6/1/2018,,,,,,,,,,,,,,
Prison Policy Initiative — General Support (2018),Prison Policy Initiative,Criminal Justice Reform,100000,6/1/2018,,,,,,,,,,,,,,
We Got Us Now — General Support (2018) ,We Got Us Now ,Criminal Justice Reform,100000,6/1/2018,,,,,,,,,,,,,,
Fortify Health — General Support,Fortify Health,Global Health & Development,295217,6/1/2018,,,,,,,,,,,,,,
VOCAL-NY — Court Watch NYC,VOCAL-NY ,Criminal Justice Reform,75000,6/1/2018,,,,,,,,,,,,,,
Project NIA — Transformative Justice Work Led by Mariame Kaba,Project NIA,Criminal Justice Reform,121000,6/1/2018,,,,,,,,,,,,,,
"Ohio Safe and Healthy Communities Campaign — Ohio Neighborhood Safety, Drug Treatment and Rehabilitation Amendment (May 2018)",Ohio Safe and Healthy Communities Campaign,Criminal Justice Reform,500000,5/1/2018,,,,,,,,,,,,,,
Center on Budget and Policy Priorities — Automatic Stabilizers ,Center on Budget and Policy Priorities,Macroeconomic Stabilization Policy,100000,5/1/2018,,,,,,,,,,,,,,
